"marker","chrom","pos","A","genomewide.permute.pval"
"1",1,"chr1A",100001,0.398794072302748,1
"2",1,"chr1B",100001,0.0598236233830177,1
"3",1,"chr1D",100001,0.156218922560642,1
"4",1,"chr2A",100001,0.396821607432983,1
"5",1,"chr2B",100001,0.369505597356703,1
"6",1,"chr2D",100001,0.307681051761667,1
"7",1,"chr3A",100001,0.171152533100766,1
"8",1,"chr3B",100001,0.0555696979010143,1
"9",1,"chr3D",100001,0.41153108692596,1
"10",1,"chr4A",100001,0.215575145640201,1
"11",1,"chr4B",100001,0.377681160079019,1
"12",1,"chr4D",100001,0.152104315600482,1
"13",1,"chr5A",100001,0.167085880073551,1
"14",1,"chr5B",100001,0.215642310651941,1
"15",1,"chr5D",100001,0.444821787459171,1
"16",1,"chr6A",100001,0.00367925283542073,1
"17",1,"chr6B",100001,0.124902139716504,1
"18",1,"chr6D",100001,1.02899797095676,1
"19",1,"chr7A",100001,0.980483185599989,1
"20",1,"chr7B",100001,0.168729003107493,1
"21",1,"chr7D",100001,0.0509182595326867,1
"22",10,"chr1A",1000001,0.501064462793856,1
"23",10,"chr1B",1000001,0.0582563499701602,1
"24",10,"chr1D",1000001,0.156493984881085,1
"25",10,"chr2A",1000001,0.36010070019201,1
"26",10,"chr2B",1000001,0.351091404813594,1
"27",10,"chr2D",1000001,0.22970785176517,1
"28",10,"chr3A",1000001,0.0829579628912357,1
"29",10,"chr3B",1000001,0.0505683099447888,1
"30",10,"chr3D",1000001,0.399005131828276,1
"31",10,"chr4A",1000001,1.30100903267888,1
"32",10,"chr4B",1000001,0.424614727831417,1
"33",10,"chr4D",1000001,0.491991046822584,1
"34",10,"chr5A",1000001,0.158012372172408,1
"35",10,"chr5B",1000001,0.328810014680501,1
"36",10,"chr5D",1000001,0.496260199708596,1
"37",10,"chr6A",1000001,0.00379832005678799,1
"38",10,"chr6B",1000001,0.132589067800137,1
"39",10,"chr6D",1000001,0.72627277513413,1
"40",10,"chr7A",1000001,0.648711196041714,1
"41",10,"chr7B",1000001,0.184777498974496,1
"42",10,"chr7D",1000001,0.191822791163089,1
"43",100,"chr1A",10000001,0.951687937795365,1
"44",100,"chr1B",10000001,0.0405225768822018,1
"45",100,"chr1D",10000001,0.00620605959547323,1
"46",100,"chr2A",10000001,0.473181352748744,1
"47",100,"chr2B",10000001,0.151801632846244,1
"48",100,"chr2D",10000001,1.08266072443728,1
"49",100,"chr3A",10000001,0.190810269863772,1
"50",100,"chr3B",10000001,0.115413897670858,1
"51",100,"chr3D",10000001,0.580098073592776,1
"52",100,"chr4A",10000001,0.756147042462593,1
"53",100,"chr4B",10000001,0.604856997642654,1
"54",100,"chr5A",10000001,0.746658489712762,1
"55",100,"chr5B",10000001,0.293121908332511,1
"56",100,"chr5D",10000001,0.60987272256614,1
"57",100,"chr6A",10000001,0.0488213836044527,1
"58",100,"chr6B",10000001,0.00633903193429108,1
"59",100,"chr6D",10000001,0.0852174789043748,1
"60",100,"chr7A",10000001,0.943852121871908,1
"61",100,"chr7B",10000001,0.132452738336312,1
"62",100,"chr7D",10000001,0.087637725733752,1
"63",1000,"chr1B",100000001,0.194900987345154,1
"64",1000,"chr2B",100000001,0.174116325933844,1
